wl,n,k
618.96,1.621737,0.019261
620.55,1.622178,0.019015
622.13,1.622601,0.018733
623.72,1.623001,0.018416
625.31,1.623377,0.018067
626.89,1.623727,0.017689
628.48,1.624049,0.017283
630.06,1.624342,0.016854
631.65,1.624604,0.016403
633.23,1.624836,0.015933
634.82,1.625035,0.015448
636.4,1.625203,0.014949
637.99,1.625338,0.01444
639.57,1.625442,0.013923
641.16,1.625513,0.0134
642.74,1.625554,0.012875
644.33,1.625563,0.012349
645.91,1.625543,0.011824
647.5,1.625494,0.011303
649.08,1.625418,0.010786
650.66,1.625315,0.010277
652.25,1.625186,0.009776
653.83,1.625034,0.009285
655.41,1.624859,0.008805
657,1.624663,0.008337
658.58,1.624447,0.007881
660.16,1.624213,0.00744
661.75,1.623962,0.007013
663.33,1.623696,0.006602
664.91,1.623415,0.006205
666.49,1.623123,0.005825
668.08,1.622818,0.00546
669.66,1.622504,0.005111
671.24,1.622182,0.004778
672.82,1.621851,0.004461
674.41,1.621515,0.00416
675.99,1.621173,0.003874
677.57,1.620826,0.003603
679.15,1.620476,0.003347
680.73,1.620124,0.003106
682.31,1.61977,0.002878
683.89,1.619415,0.002664
685.47,1.61906,0.002463
687.06,1.618705,0.002275
688.64,1.618351,0.002099
690.22,1.617998,0.001934
691.8,1.617648,0.00178
693.38,1.617299,0.001637
694.96,1.616953,0.001504
696.54,1.616611,0.00138
698.12,1.616271,0.001265
699.7,1.615934,0.001159
701.27,1.615602,0.00106
702.85,1.615273,0.000969
704.43,1.614947,0.000885
706.01,1.614626,0.000807
707.59,1.614308,0.000736
709.17,1.613995,0.00067
710.75,1.613685,0.00061
712.33,1.61338,0.000554
713.9,1.613078,0.000504
715.48,1.61278,0.000457
717.06,1.612486,0.000415
718.64,1.612196,0.000376
720.22,1.611909,0.00034
721.79,1.611625,0.000308
723.37,1.611346,0.000278
724.95,1.611069,0.000252
726.52,1.610795,0.000227
728.1,1.610525,0.000205
729.68,1.610257,0.000185
731.25,1.609992,0.000167
732.83,1.609729,0.000151
734.41,1.609469,0.000136
735.98,1.609212,0.000123
737.56,1.608956,0.000111
739.13,1.608702,0.000101
740.71,1.60845,0.000092
742.29,1.608199,0.000084
743.86,1.60795,0.000077
745.44,1.607703,0.000071
747.01,1.607456,0.000066
748.59,1.60721,0.000062
750.16,1.606965,0.000059
751.73,1.606721,0.000057
753.31,1.606477,0.000056
754.88,1.606233,0.000056
756.46,1.605989,0.000057
758.03,1.605746,0.000059
759.6,1.605501,0.000062
761.18,1.605257,0.000067
762.75,1.605012,0.000073
764.32,1.604766,0.000081
765.9,1.604519,0.00009
767.47,1.604271,0.000101
769.04,1.604022,0.000114
770.61,1.603772,0.000129
772.19,1.60352,0.000147
773.76,1.603266,0.000167
775.33,1.603011,0.00019
776.9,1.602755,0.000216
778.47,1.602496,0.000245
780.04,1.602236,0.000278
781.62,1.601974,0.000315
783.19,1.601709,0.000356
784.76,1.601444,0.000402
786.33,1.601176,0.000453
787.9,1.600907,0.000509
789.47,1.600636,0.000571
791.04,1.600364,0.000638
792.61,1.60009,0.000712
794.18,1.599816,0.000793
795.75,1.599541,0.000881
797.32,1.599265,0.000976
798.89,1.598989,0.00108
800.46,1.598714,0.001191
802.02,1.598439,0.001311
803.59,1.598165,0.001439
805.16,1.597893,0.001577
806.73,1.597623,0.001724
808.3,1.597356,0.00188
809.87,1.597092,0.002046
811.43,1.596832,0.002222
813,1.596576,0.002408
814.57,1.596326,0.002603
816.14,1.596081,0.002809
817.7,1.595843,0.003024
819.27,1.595612,0.003249
820.84,1.59539,0.003484
822.4,1.595176,0.003728
823.97,1.594971,0.003982
825.54,1.594777,0.004244
827.1,1.594594,0.004514
828.67,1.594422,0.004792
830.23,1.594263,0.005078
831.8,1.594117,0.00537
833.36,1.593984,0.005668
834.93,1.593865,0.005972
836.49,1.593761,0.00628
838.06,1.593672,0.006593
839.62,1.593598,0.006908
841.19,1.59354,0.007225
842.75,1.593499,0.007544
844.31,1.593474,0.007863
845.88,1.593465,0.008181
847.44,1.593473,0.008497
849,1.593498,0.008811
850.57,1.59354,0.009121
852.13,1.593598,0.009426
853.69,1.593672,0.009726
855.25,1.593763,0.010019
856.82,1.593869,0.010304
858.38,1.593991,0.01058
859.94,1.594127,0.010847
861.5,1.594278,0.011103
