wl,n,k
910.55,1.38321,0.04738
912.12,1.38053,0.04771
913.7,1.37785,0.04805
915.27,1.37515,0.04839
916.84,1.37245,0.04874
918.42,1.36974,0.04908
919.99,1.36702,0.04943
921.56,1.36429,0.04979
923.13,1.36156,0.05014
924.7,1.35881,0.0505
926.28,1.35606,0.05086
927.85,1.3533,0.05122
929.42,1.35053,0.05158
930.99,1.34775,0.05195
932.56,1.34496,0.05232
934.13,1.34216,0.0527
935.7,1.33935,0.05307
937.28,1.33653,0.05345
938.85,1.33371,0.05383
940.42,1.33087,0.05422
941.99,1.32803,0.05461
943.56,1.32518,0.055
945.13,1.32231,0.05539
946.69,1.31944,0.05579
948.26,1.31656,0.05618
949.83,1.31367,0.05659
951.4,1.31077,0.05699
952.97,1.30786,0.0574
954.54,1.30494,0.05781
956.11,1.30201,0.05823
957.68,1.29907,0.05865
959.24,1.29612,0.05907
960.81,1.29316,0.05949
962.38,1.29019,0.05992
963.95,1.28721,0.06035
965.51,1.28422,0.06078
967.08,1.28122,0.06122
968.65,1.27821,0.06166
970.21,1.27519,0.06211
971.78,1.27216,0.06256
973.35,1.26912,0.06301
974.91,1.26607,0.06347
976.48,1.263,0.06393
978.04,1.25993,0.06439
979.61,1.25684,0.06486
981.17,1.25375,0.06533
982.74,1.25064,0.0658
984.3,1.24752,0.06628
985.87,1.24439,0.06676
987.43,1.24126,0.06725
989,1.2381,0.06774
990.56,1.23494,0.06824
992.12,1.23177,0.06873
993.69,1.22858,0.06924
995.25,1.22538,0.06974
996.81,1.22217,0.07026
998.38,1.21895,0.07077
999.94,1.21572,0.07129
1013.38,1.18739,0.07596
1016.81,1.18002,0.07721
1020.24,1.17257,0.07849
1023.67,1.16506,0.07979
1027.09,1.15749,0.08112
1030.52,1.14984,0.08247
1033.95,1.14213,0.08386
1037.38,1.13434,0.08527
1040.81,1.12649,0.08672
1044.23,1.11856,0.08819
1047.66,1.11055,0.0897
1051.09,1.10247,0.09125
1054.52,1.09431,0.09283
1057.95,1.08607,0.09444
1061.37,1.07776,0.0961
1064.8,1.06935,0.09779
1068.23,1.06087,0.09952
1071.66,1.0523,0.1013
1075.09,1.04364,0.10312
1078.51,1.03489,0.10498
1081.94,1.02605,0.10689
1085.37,1.01712,0.10886
1088.8,1.00809,0.11087
1092.23,0.99896,0.11294
1095.65,0.98974,0.11506
1099.08,0.98041,0.11725
1102.51,0.97098,0.11949
1105.94,0.96145,0.1218
1109.37,0.9518,0.12418
1112.8,0.94205,0.12662
1116.22,0.93218,0.12915
1119.65,0.92219,0.13175
1123.08,0.91209,0.13443
1126.51,0.90186,0.1372
1129.94,0.89152,0.14005
1133.37,0.88104,0.14301
1136.8,0.87044,0.14606
1140.22,0.8597,0.14922
1143.65,0.84883,0.15249
1147.08,0.83782,0.15588
1150.51,0.82667,0.1594
1153.94,0.81538,0.16305
1157.37,0.80394,0.16684
1160.8,0.79236,0.17078
1164.23,0.78062,0.17489
1167.66,0.76873,0.17916
1171.09,0.75669,0.18361
1174.52,0.74449,0.18825
1177.95,0.73214,0.1931
1181.38,0.71963,0.19817
1184.81,0.70697,0.20348
1188.24,0.69415,0.20903
1191.67,0.68118,0.21485
1195.1,0.66806,0.22096
1198.53,0.65481,0.22737
1201.96,0.64142,0.2341
1205.39,0.62791,0.24118
1208.83,0.61428,0.24863
1212.26,0.60056,0.25647
1215.69,0.58677,0.26473
1219.12,0.57293,0.27342
1222.55,0.55905,0.28256
1225.98,0.54519,0.29218
1229.42,0.53136,0.30229
1232.85,0.51762,0.31291
1236.28,0.504,0.32405
1239.71,0.49056,0.33569
1243.15,0.47734,0.34785
1246.58,0.46438,0.36051
1250.01,0.45175,0.37365
1253.45,0.43948,0.38723
1256.88,0.42762,0.40124
1260.31,0.4162,0.41562
1263.75,0.40525,0.43033
1267.18,0.39479,0.44532
1270.62,0.38484,0.46053
1274.05,0.3754,0.47593
1277.49,0.36647,0.49147
1280.92,0.35803,0.50709
1284.36,0.35009,0.52276
1287.79,0.34261,0.53844
1291.23,0.33559,0.5541
1294.66,0.32899,0.56971
1298.1,0.3228,0.58525
1301.54,0.31699,0.60069
1304.97,0.31153,0.61604
1308.41,0.30642,0.63126
1311.85,0.30161,0.64635
1315.28,0.2971,0.6613
1318.72,0.29286,0.67612
1322.16,0.28888,0.69079
1325.6,0.28513,0.70531
1329.04,0.2816,0.71968
1332.48,0.27828,0.7339
1335.91,0.27515,0.74797
1339.35,0.2722,0.7619
1342.79,0.26942,0.77568
1346.23,0.26679,0.78932
1349.67,0.26431,0.80282
1353.11,0.26196,0.81618
1356.55,0.25975,0.82941
1360,0.25765,0.8425
1363.44,0.25566,0.85547
1366.88,0.25378,0.8683
1370.32,0.252,0.88102
1373.76,0.25032,0.89361
1377.2,0.24872,0.90609
1380.65,0.2472,0.91846
1384.09,0.24577,0.93071
1387.53,0.2444,0.94286
1390.98,0.24311,0.95489
1394.42,0.24189,0.96683
1397.87,0.24072,0.97867
1401.31,0.23962,0.99041
1404.76,0.23858,1.00205
1408.2,0.23759,1.01361
1411.65,0.23665,1.02507
1415.09,0.23576,1.03645
1418.54,0.23491,1.04773
1421.99,0.23411,1.05894
1425.43,0.23336,1.07007
1428.88,0.23264,1.08111
1432.33,0.23197,1.09208
1435.78,0.23133,1.10298
1439.22,0.23072,1.1138
1442.67,0.23015,1.12454
1446.12,0.22962,1.13522
1449.57,0.22911,1.14583
1453.02,0.22863,1.15638
1456.47,0.22819,1.16686
1459.92,0.22777,1.17727
1463.37,0.22738,1.18762
1466.83,0.22701,1.19791
1470.28,0.22667,1.20815
1473.73,0.22635,1.21832
1477.18,0.22606,1.22844
1480.64,0.22579,1.2385
1484.09,0.22554,1.24851
1487.54,0.22531,1.25846
1491,0.2251,1.26837
1494.45,0.22491,1.27822
1497.91,0.22474,1.28802
1501.36,0.22458,1.29777
1504.82,0.22445,1.30748
1508.28,0.22433,1.31714
1511.73,0.22423,1.32675
1515.19,0.22414,1.33631
1518.65,0.22407,1.34584
1522.11,0.22401,1.35532
1525.56,0.22397,1.36476
1529.02,0.22395,1.37415
1532.48,0.22394,1.38351
1535.94,0.22394,1.39282
1539.4,0.22395,1.4021
1542.87,0.22398,1.41134
1546.33,0.22401,1.42053
1549.79,0.22406,1.4297
1553.25,0.22413,1.43882
1556.71,0.2242,1.44791
1560.18,0.22429,1.45697
1563.64,0.22438,1.46599
1567.11,0.22449,1.47497
1570.57,0.22461,1.48393
1574.04,0.22473,1.49285
1577.5,0.22487,1.50174
1580.97,0.22502,1.51059
1584.43,0.22517,1.51942
1587.9,0.22534,1.52821
1591.37,0.22551,1.53698
1594.84,0.22569,1.54571
1598.31,0.22589,1.55442
1601.78,0.22609,1.5631
1605.25,0.22629,1.57175
1608.72,0.22651,1.58037
1612.19,0.22673,1.58896
1615.66,0.22696,1.59753
1619.13,0.2272,1.60607
1622.6,0.22745,1.61459
1626.08,0.2277,1.62308
1629.55,0.22796,1.63154
1633.02,0.22823,1.63998
1636.5,0.22851,1.6484
1639.97,0.22879,1.65679
1643.45,0.22908,1.66515
1646.93,0.22937,1.6735
1650.4,0.22967,1.68182
1653.88,0.22998,1.69012
1657.36,0.23029,1.69839
1660.84,0.23061,1.70665
1664.32,0.23094,1.71488
1667.8,0.23127,1.72309
1671.28,0.2316,1.73128
1674.76,0.23195,1.73945
1678.24,0.23229,1.7476
1681.72,0.23265,1.75573
1685.2,0.23301,1.76384
1688.69,0.23337,1.77193
